,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
87769,87769,40KUzcToZooV3Gair9v4I9,Flora Matos,FLORA DE CONTROLE,CHEI DE GATA,42,159937,True,0.8,0.724,1,-8.101,0,0.0404,0.388,0.000145,0.125,0.685,134.945,4,r-n-b
12510,12510,3p4UTiSIIpP4LFn0KEyEOj,Eason Chan,Live For Today,十面埋伏,39,232119,False,0.559,0.474,0,-6.359,1,0.0287,0.231,0.0,0.105,0.399,138.031,4,cantopop
82997,82997,29taYyy3cbuuS9L2fPWbuN,Hoodoo Gurus,Mars Needs Guitars!,Mars Needs Guitars! - 2005 Remaster,20,173160,False,0.522,0.853,5,-3.973,1,0.0319,0.000145,0.696,0.15,0.794,102.905,4,power-pop
111343,111343,3iFrnwcE635aABiCZWULxP,Kinobe;Stephen Hague,Slip Into Something More Comfortable,Slip Into Something More Comfortable - Stephen Hague 2016 Mix,54,287776,False,0.513,0.661,8,-10.635,1,0.0341,0.0182,0.878,0.38,0.355,174.619,4,trip-hop
79272,79272,1CHIhjz4MKZXzGk8Ncebib,Skylar Grey,Furious 7: Original Motion Picture Soundtrack,I Will Return,28,236440,False,0.534,0.646,0,-7.533,1,0.0343,0.168,4.74e-06,0.151,0.0562,124.872,4,piano
51247,51247,6TFUGAC1zk57FICwy1wZNW,Daddy Yankee;Natti Natasha;Becky G;Bad Bunny,Homecoming Latin Party,Dura - Remix,0,242160,False,0.772,0.803,1,-3.035,1,0.0468,0.187,0.0,0.434,0.853,94.98,4,hip-hop
48668,48668,1Elcx6HbpFFtgFWKbKaThT,Never Ending Game,Just Another Day,Puppet,29,149425,False,0.389,0.973,1,-5.404,0,0.0992,0.00018,0.705,0.0845,0.294,93.603,4,hardcore
37390,37390,4EXoyGeHXMoaxM4RthcM1g,James Brown,A Very 60s Christmas,"Merry Christmas, I Love You",0,151586,False,0.763,0.702,7,-5.992,1,0.0806,0.567,0.0,0.078,0.601,120.414,4,funk
35910,35910,1iUbWa9S8Eqvpdsg5Aj7EW,Dominguinhos,Chegando de Mansinho,Preciso de Teu Sorriso,37,189040,False,0.592,0.723,5,-7.806,1,0.0386,0.561,0.0,0.251,0.924,155.894,4,forro
91914,91914,5qqabIl2vWzo9ApSC317sa,Oasis,(What's The Story) Morning Glory? [Remastered],Wonderwall - Remastered,78,258773,False,0.378,0.896,2,-4.066,1,0.0407,0.000452,0.0,0.194,0.469,174.302,4,rock
49196,49196,00b0xXXPbLvZkMa7JcJ2RT,Buren Van De Brandweer,Weekend Weg,Weekend Weg,28,162206,False,0.778,0.911,11,-4.209,1,0.128,0.00173,1.92e-06,0.0767,0.883,145.017,4,hardstyle
60944,60944,3XN6gsqRw1EzezEdgQmKO7,SHINJIRO ATAE (from AAA),THIS IS WHERE WE PROMISE,How We Do It,19,241066,False,0.704,0.804,0,-5.924,1,0.0434,0.0187,0.0,0.0834,0.556,127.004,4,j-dance
19657,19657,7vF3xkCMvZjAe2nTWY0uQZ,Jake Owen,Greetings From...Jake,Made For You,70,238400,False,0.581,0.441,1,-6.829,1,0.0268,0.77,2.75e-05,0.111,0.337,82.125,4,country
54618,54618,6Zsi7i2cx3K1gjLjZKek9H,Melorman,You Became a Memory,Ten,10,252000,False,0.549,0.566,7,-11.218,1,0.0361,0.044,0.946,0.11,0.0367,160.002,4,idm
39781,39781,3KN8XPsoTfqgBROxNW6Gce,K.I.Z,Hahnenkampf,Ellenbogengesellschaft (Pogen),40,221853,False,0.612,0.737,7,-6.332,1,0.322,0.0122,0.0,0.08,0.597,182.177,4,german
38750,38750,60C3tBC9yPX9vzwYnPrDbd,CASTLEBEAT,Half Life,Cinema,53,222089,False,0.46,0.721,2,-7.347,1,0.0308,0.564,0.613,0.14,0.598,84.426,4,garage
50887,50887,6iRliiSmirF0h7R2uFYd2J,Kotiteollisuus,Kruuna/klaava,Kruuna/klaava,19,334546,False,0.503,0.904,9,-6.038,1,0.0434,0.000217,0.315,0.0924,0.35,120.017,4,heavy-metal
41109,41109,0JBQnLKfLXmlkquabLtAgd,In Flames,Clayman,Only for the Weak,63,294866,False,0.418,0.835,0,-4.824,0,0.0449,2.33e-06,0.766,0.289,0.549,104.986,4,goth
69940,69940,4JrGpUQothsSVR6iBhR9NC,Namewee;Leehom Wang,亞洲通車,飄向北方,55,269181,False,0.5,0.778,0,-4.658,0,0.126,0.387,0.0,0.16,0.279,173.906,4,malay
23204,23204,3PVczFr0abPSkgcwjXJJDh,Y.V.E. 48,Let You Know,Let You Know,55,173166,False,0.61,0.571,5,-9.432,1,0.0395,0.242,0.21,0.228,0.147,89.769,4,deep-house
34350,34350,1fEGtTZjrjJW8eUeewnNJR,Iron & Wine,The Shepherd's Dog,"Flightless Bird, American Mouth",69,241917,False,0.369,0.403,3,-7.996,1,0.0259,0.827,0.0541,0.106,0.177,154.899,3,folk
22655,22655,7EtQ5CqjSRgItuTYXeEtc9,Orbit Culture,Vultures of North,Vultures of North,54,278181,False,0.402,0.912,9,-3.108,1,0.0711,2.07e-05,0.0165,0.159,0.217,176.007,4,death-metal
26843,26843,1XhvxvYcUx24eMChOpfraF,Kristen Bell,La Reine des Neiges 2 (Bande Originale Française du Film/Deluxe Edition),Home - Outtake,18,176865,False,0.708,0.424,2,-7.048,1,0.0353,0.724,0.0,0.0722,0.637,101.703,4,disney
47680,47680,6pkRLVS9TJKKFzEyZI7QFv,Dead Fish,Ponto Cego,Sombras da Caverna,36,173720,False,0.419,0.947,5,-4.966,0,0.0531,5.42e-05,5.74e-06,0.185,0.454,133.005,4,hard-rock
25473,25473,0Iv6ig3ixIwSbFHUCkHRVG,Skyy,Start Of A Romance,Start of a Romance,33,287440,False,0.706,0.715,6,-10.924,0,0.0536,0.141,0.00812,0.106,0.914,102.399,4,disco
38454,38454,1EZYmas3jh7aUKqCF9EI5A,CASTLEBEAT,VHS,These Days,50,156497,False,0.584,0.772,4,-9.993,1,0.0295,0.757,0.887,0.115,0.946,129.999,4,garage
55320,55320,7ztSVy67w9rXpKg5L2zN5l,Twin Strings,Dhalti Rahe - Single,Dhalti Rahe,53,287000,False,0.65,0.327,10,-11.441,1,0.0324,0.725,0.000302,0.0824,0.196,140.047,3,indian
19969,19969,689hKgiURfX5545kFXcI2l,Randall King,Never Leave - Country Magic,You in a Honky Tonk,0,183570,False,0.626,0.705,9,-5.911,1,0.0256,0.121,1.67e-05,0.341,0.62,103.936,4,country
430,430,6wVxhM5GJiZCro0xPWox6g,Bailey Pelkman;Randy Rektor,Acoustic Duets,I Just Called To Say I Love You,54,189646,False,0.746,0.257,0,-9.878,1,0.0312,0.772,0.0,0.107,0.348,132.032,4,acoustic
50120,50120,564R2CUjKmBW3hNTghZeKk,Aonikenk,Sentir Metalero,Cacique Yatel,31,256360,False,0.277,0.97,9,-3.577,0,0.212,0.000194,5.24e-06,0.197,0.119,116.211,3,heavy-metal
77999,77999,2KDh8WCdnPKTQz2lvIL2bv,Thiago Soares;Grupo Menos É Mais,"Pra Lembrar, Beber e Cantar",Absoluta / Que Dure para Sempre / Interfone / Quando É Amor,41,388358,False,0.661,0.634,0,-8.761,1,0.05,0.753,0.0,0.0926,0.869,162.118,4,pagode
9769,9769,16oVqtzrcrdzQvtIRnA2Wx,Racionais MC's,"Nada Como um Dia Após o Outro Dia, Vol. 1 & 2",De Volta À Cena,44,121853,False,0.794,0.752,9,-7.935,1,0.853,0.567,0.0,0.479,0.32,158.133,4,brazil
73891,73891,2wFblS49qUyicuDXHcvSFD,Raumakustik,The Masquerade (Mixed by Claptone) [Mixed],Raider - Mixed,18,359053,False,0.802,0.974,7,-7.746,1,0.102,0.00221,0.883,0.151,0.439,123.039,4,minimal-techno
47831,47831,13hc2Rjeh0cJ8qnIUABazb,Charlie Brown Jr.,Imunidade Musical,Too Fast Live Too Young Too Die,35,39266,False,0.473,0.942,8,-4.479,1,0.0711,0.00846,0.737,0.0867,0.351,96.781,4,hard-rock
91716,91716,4UDmDIqJIbrW0hMBQMFOsM,Bee Gees,Staying Alive (Original Motion Picture Soundtrack),Stayin' Alive,77,92866,False,0.707,0.535,10,-19.793,0,0.0436,0.113,0.00615,0.0884,0.641,103.644,4,rock
85304,85304,1OUxBM6TphEnDh4EQkNRv1,Plain White T's,Wonders Of The Younger (International Version),Rhythm Of Love,53,200200,False,0.531,0.549,8,-7.895,1,0.0378,0.363,0.0,0.118,0.681,171.781,4,punk-rock
79673,79673,6VnHJ2qyC1MpodivmPBm8F,Chewie Melodies,Genshin Impact Piano Cover Collection (Pt. 2),Qingyun Peak Daytime,40,70273,False,0.485,0.0192,4,-29.844,1,0.0503,0.991,0.922,0.0991,0.41,134.218,4,piano
29736,29736,1XVzkGLefSE6C7xQOZaEgv,Abandoned;Shiah Maisel,Finally Healing,Finally Healing,32,180436,False,0.425,0.743,5,-5.478,1,0.0633,0.245,1.71e-06,0.162,0.385,171.94,4,dubstep
110679,110679,0bMzCNqq4U5pQakqcyfJHR,Jason Ross;HOLT,Hate This Kind of Love (feat. HOLT),Hate This Kind of Love (feat. HOLT),41,226857,False,0.574,0.794,4,-4.81,1,0.058,0.106,0.0,0.103,0.439,104.906,4,trance
7981,7981,1S3EEpzJoqUU79zDmoTJmQ,Punch Brothers,Antifogmatic,Don't Need No,20,269080,False,0.554,0.296,8,-15.659,1,0.0539,0.641,0.112,0.0958,0.535,110.526,4,bluegrass
15204,15204,7fyVBKYJYMP42nNr9RFTAT,HYBS,Ride,Ride,67,181622,False,0.757,0.393,5,-7.942,1,0.212,0.788,0.000986,0.0501,0.715,77.985,4,chill
57581,57581,07Wy1eKaBeKTUhCQVPvaKP,Aditya A;Mumzy Stranger,Chaand Baaliyan (Girl Let Me Tell You),Chaand Baaliyan - Girl Let Me Tell You,46,135000,False,0.718,0.801,0,-4.54,1,0.0543,0.0955,0.00276,0.196,0.782,99.975,4,indie
91432,91432,4xoC85cReQ3fobSv12Oi1w,Juanes,Para entrar en calor,Hermosa Ingrata,0,181840,False,0.729,0.764,9,-6.138,0,0.0452,0.201,0.000598,0.0807,0.964,94.017,4,rock
57741,57741,75CodNaH0nZM9MBqJRnRSj,Tedua;Sfera Ebbasta,RAP ITALIANO 2010-2020 HITS Vol.1,Lingerie,4,198026,False,0.644,0.637,9,-7.816,1,0.0489,0.0119,5.71e-05,0.0973,0.128,127.993,4,indie
104277,104277,6indn0fTsUOGYKzO25FXvR,Cyclo,La Corona,La Corona,32,270794,True,0.492,0.827,9,-6.325,0,0.181,0.159,0.0,0.0987,0.157,100.381,4,spanish
40525,40525,4kkEfM9k5eBUMWG2dongGA,Marcelo Aguiar,Mais de Mil Razões,Esse é o Meu Deus,41,152960,False,0.597,0.408,5,-6.227,1,0.032,0.694,0.0,0.175,0.406,119.953,4,gospel
101300,101300,0f5IlhiVWUUq4SGHyrRxIt,Universo,Galaxia,Viento Estelar,66,185943,False,0.141,0.0405,3,-29.013,1,0.0382,0.965,0.966,0.0983,0.0378,59.418,4,sleep
75975,75975,09v1z9imk160lC4DByT4RX,Jim Brickman,"Soothe, Vol. 2: Sleep (Music for Tranquil Slumber)",Exhale,19,278639,False,0.43,0.091,9,-18.793,0,0.0346,0.977,0.913,0.0984,0.0742,119.811,4,new-age
22577,22577,2iwZNz30F5QFzQszFTFPYx,Winds of Plague,Decimate the Weak,Unbreakable,22,256413,False,0.456,0.947,2,-2.983,1,0.0613,1.11e-05,0.166,0.364,0.286,115.043,4,death-metal
40489,40489,3pBFOchIRVAcvWK4MQ6Jgz,Rodolfo Abrantes;O Muro de Pedra,Joio ou Trigo,Todo Dia Até Morrer,41,224573,False,0.757,0.643,7,-6.832,1,0.0369,0.454,0.0,0.258,0.835,128.0,4,gospel
105697,105697,5I8V18PYNOKqIHAIwPn0Ea,"Sarah, the Illstrumentalist",Pocket Full of Crystals: Vol 2,Magnetite,8,120332,False,0.664,0.186,5,-16.097,1,0.0685,0.555,0.00928,0.114,0.193,161.969,4,study
97953,97953,0lp3u9nJusd5l8aKPAWELl,Felipe Araújo;Matheus & Kauan,Mais Um,Mais Um,43,168258,False,0.766,0.793,6,-4.427,1,0.0477,0.421,0.0,0.093,0.73,126.975,4,sertanejo
29740,29740,5wRosZhB66DzD6WSnt0XyX,DJ Noiz;Konecs;Vili Langi,Ofa Mai,Ofa Mai,50,184581,False,0.872,0.78,10,-4.06,1,0.068,0.0712,0.0,0.0643,0.695,106.009,4,dubstep
22214,22214,0Nj4eoThAEPpmeSA6zWYEs,Opeth,Blackwater Park,Bleak,43,555933,False,0.247,0.868,0,-4.902,1,0.0762,8.19e-05,0.663,0.594,0.261,97.527,4,death-metal
47570,47570,5jEAWfOIPhTol0LCRx2Mzj,Pitty,Dê um Rolê - Single,Dê um Rolê,39,268440,False,0.392,0.765,5,-5.906,1,0.0376,0.00451,0.0,0.128,0.647,121.499,4,hard-rock
84689,84689,1TyuusIyvlm93bl50KEsmd,Steely Dan,A Decade Of Steely Dan,Deacon Blues,29,454560,False,0.751,0.545,0,-13.429,1,0.0394,0.49,0.000342,0.131,0.599,115.848,4,psych-rock
63254,63254,4SupI9OXg3hwrymR85hkhL,TK from Ling tosite sigure,Signal,Signal,49,319800,False,0.433,0.91,2,-2.547,0,0.0643,0.00173,2.99e-05,0.122,0.303,83.408,4,j-rock
89651,89651,2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,Yonaguni,87,206710,True,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,4,reggaeton
45989,45989,7wlMBq2mjXlqxSmonLSk2i,Los Apus,No Debí Conocerte,No Me Vuelvo a Enamorar,21,243809,False,0.812,0.615,1,-5.769,0,0.0456,0.723,0.000894,0.106,0.815,102.05,4,guitar
106596,106596,7pjj6hVH1uh9Mf6rQ6QO0O,Hjalle & Heavy,På Rymmen,En Kungens Man,38,134493,False,0.547,0.898,7,-6.213,1,0.0589,0.049,0.0,0.0681,0.647,95.612,4,swedish
15612,15612,2CgD1AHCt23YSWNBQMgC3q,creamy;Martin Arteta;11:11 Music Group,Past Lives,Past Lives (Acoustic),48,122586,False,0.601,0.33,3,-13.346,1,0.0336,0.981,0.0159,0.355,0.461,116.058,4,chill
3544,3544,1PYe4YkKMsZ4JdvEZYBE6m,The Verve,Rock Workout 2023,Bitter Sweet Symphony - Remastered 2016,1,357266,False,0.356,0.917,9,-6.005,1,0.0487,0.0336,0.0,0.406,0.523,171.172,4,alternative
41301,41301,5Osd2BWeCNtA6EMLY0Dsil,Anathema,A Natural Disaster (Remastered),Flying - Remastered,46,357013,False,0.376,0.374,0,-8.276,0,0.0323,0.0162,0.000515,0.263,0.0451,141.738,3,goth
10232,10232,46jMKblQOnQwSfnrRzQpI8,Freestylers,Pressure Point,London Sound,16,339400,True,0.922,0.855,11,-6.053,0,0.0856,0.0398,1.25e-05,0.0702,0.934,130.893,4,breakbeat
77369,77369,5x2STIzWAYohcaKuxohIGa,Atitude 67,Atitude 67 (Ao Vivo),Vou Te Escrever Um Rap - Ao Vivo,48,190440,False,0.712,0.823,9,-6.298,1,0.0859,0.561,0.0,0.767,0.765,161.885,4,pagode
68929,68929,7trX995xQ3AdG8LW4OCZb3,Yaga & Mackie,Los Mackieavelikos 2055,La Bellaquera,40,235400,True,0.833,0.661,11,-7.721,0,0.109,0.00836,0.00287,0.076,0.881,78.006,4,latino
77412,77412,4SSpiR3Dmuc34bqJqbufom,Mumuzinho,Resenha Do Mumu (Ao Vivo),Playlist - Ao Vivo,45,179765,False,0.561,0.821,5,-6.188,1,0.106,0.455,0.0,0.693,0.781,164.115,4,pagode
107380,107380,1I6q6nwNjNgik1Qe8Oi0Y7,Culture Club,Kissing To Be Clever,Do You Really Want To Hurt Me,66,262173,False,0.744,0.376,4,-14.996,0,0.0366,0.0815,0.0,0.108,0.42,100.78,4,synth-pop
32342,32342,2lqmQNbNZUVwGu6M4d3Ggn,Francisca Valenzuela,Muérdete La Lengua (Edición Especial),Muérdete La Lengua,42,178453,False,0.59,0.73,2,-5.04,1,0.0379,0.00819,0.0,0.104,0.892,130.969,4,electronic
56376,56376,1wxF7Ilffr7yRgoX7j2iSP,Tribal Rain,Roka Yo Samay,Chinta,47,259683,False,0.735,0.297,3,-11.889,1,0.0324,0.931,0.0621,0.109,0.723,97.97,4,indie-pop
94525,94525,2MKJbTQepwHTMhKmbAk225,dyl dion,meant nothing to me,meant nothing to me,57,117391,False,0.801,0.643,5,-5.635,1,0.0355,0.824,5.09e-05,0.109,0.664,147.29,4,sad
2499,2499,7tYQXKBRjIafvyczPPUbbe,La Renga,Triste Hora,Balada Del Diablo y La Muerte,0,336360,False,0.407,0.771,4,-6.991,0,0.0558,0.128,0.0,0.127,0.429,132.006,4,alt-rock
60744,60744,1ZIpOTFiz7CmIU8nmz6x6k,Robbie Rule;TripleDose Production,Do Without Dem,Do Without Dem,20,187593,True,0.59,0.749,2,-5.546,1,0.305,0.781,0.0,0.08,0.465,72.581,3,j-dance
57209,57209,3odrUVQ9tvRpkC9II2oWzx,Ellie Goulding,"Still Falling For You (From ""Bridget Jones's Baby"" Original Motion Picture Soundtrack)","Still Falling For You - From ""Bridget Jones's Baby""",73,240867,False,0.473,0.518,1,-8.1,1,0.0405,0.553,1.26e-06,0.111,0.18,96.129,4,indie
2381,2381,0wwurbloAiMd8CcLUuZJxB,Bishop Briggs,Halloween & Alternative,Dead Man's Arms,0,245173,False,0.535,0.508,2,-5.996,0,0.0318,0.233,0.0,0.0993,0.236,134.577,4,alt-rock
15857,15857,1TsziatjkTtvyJInIL8mIJ,Sarah Kang;Nieman,i'm lost,i'm lost,49,196311,False,0.383,0.496,11,-7.101,1,0.0455,0.787,0.0,0.1,0.368,55.693,3,chill
40661,40661,4yGreqJT68htx4FYJJ9Ixr,Daniela Araújo,Daniela Araújo,Dono dos Meus Dias,39,235756,False,0.328,0.282,0,-14.752,1,0.0295,0.729,0.00723,0.11,0.371,185.358,4,gospel
102711,102711,6Au7CCNN2wXgCNxdavgxDM,Lee So Ra;SUGA,Song Request 신청곡 (feat. SUGA of BTS),Song Request 신청곡 (feat. SUGA of BTS),56,281066,False,0.481,0.59,2,-7.145,1,0.0903,0.707,0.00037,0.141,0.454,175.788,4,songwriter
6065,6065,6ahKJEP3jK2TnDUwHa4sI9,Behemoth,Opvs Contra Natvram,Post-God Nirvana,49,190520,True,0.365,0.685,1,-9.227,1,0.0525,0.104,0.357,0.189,0.0395,79.99,4,black-metal
78881,78881,5edOKEtwynJL4xwvIHjRCU,Peter Wackel,Wackel Total!,Ladioo - Party-Mix,24,221797,False,0.556,0.948,1,-3.005,0,0.127,0.0357,0.0,0.579,0.297,134.985,4,party
87921,87921,5tWCTXztbnOsJfNYs8R1sK,Edwin Luna y La Trakalosa de Monterrey;Kombo Kolombia,De Monterrey a Sinaloa,Como Duele (feat. Kombo Kolombia),41,182800,False,0.757,0.564,5,-5.003,1,0.03,0.748,0.0,0.234,0.644,126.17,4,r-n-b
88343,88343,2RAEtFZQd4TZexKgblZNgA,Wisin & Yandel;Anthony Santos,Última Misión Reggaeton,Noche De Sexo,0,205773,True,0.721,0.714,11,-5.436,0,0.234,0.107,0.0,0.562,0.506,94.002,4,reggae
107846,107846,2m03BtMMefvQspKp35yLwk,Squeeze,Greatest Hits,Take Me I'm Yours,24,169866,False,0.623,0.587,2,-13.956,1,0.0409,0.00205,0.0,0.0494,0.858,123.779,4,synth-pop
86685,86685,53xKlevoXT2OIdDQx3KDl1,? & The Mysterians,Don't Break This Heart Of Mine,96 Tears,40,176866,False,0.65,0.562,7,-5.965,1,0.0345,0.0623,3.08e-05,0.076,0.88,123.674,4,punk
